,Provider Name,Address,Contact Number
81,ALLIED CARE EXPERTS (ACE) MALOLOS DOCTORS INC.,CAPITOL VIEW PARK SUBD. BULIHAN,044-8167698
82,ALLIED CARE EXPERTS (ACE) MED. CENTER-BAYPOINTE INC.,"BLK. 8 LOT 1A AND 1B DEWEY AVENUE, CBD AREA, SUBIC BAY FREEPORT ZONE",(047) 250 6070
83,ALLIED CARE EXPERTS (ACE) MEDICAL CENTER - MANDALUYONG,145 HAIG ST. BRGY DAANG BAKAL,
84,ALLIED CARE EXPERTS (ACE) MEDICAL CENTER - PANGASINAN,23 DE VENECIA RD MALUED,0752237264
85,ALLIED CARE EXPERTS (ACE) MEDICAL CENTER BAYAWAN-INC.,"INTEGRATED BUSINESS CENTER, BRGY VILLAREAL",035 - 523 - 6594
86,ALLIED CARE EXPERTS (ACE) MEDICAL CENTER- CAGAYAN DE ORO,"PIMENTEL ST.  LAPASAN,",
87,ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-BALIWAG,"LOT 2975 C-1 DOÑA REMEDIOS TRINIDAD HIGHWAY, PINAGBARILAN",(044) 816-1001 loc 103 or (8) 584-4665 / 514-5330
88,"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-BOHOL, INC",0368 CARLOS P. GARCIA EAST AVENUE,038-412-8888
89,ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-BUTUAN INC.,"SOUTH MONTILLA BLVD, VILLA KANANGA",085-8154874
90,ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-CEBU INC.,494 NATIONAL HIGHWAY N. BACALSO AVE. BASAK PARDO,(032) 2655833
91,ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-LEGAZPI,DARAGA-LEGAZPI DIVERSION RD. BRGY. BOGTONG,09176267692
92,"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-PALAWAN, INC.","SOUTH NATIONAL HIGHWAY, SAN PEDRO, PALAWAN",048-7170019
93,ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-TACLOBAN,"MARASBARAS, BARANGAY 78,, TACLOBAN CITY",(053)888-4322
94,ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-TUGUEGARAO,PALLUA RD. BRGY PALLUA NORTE,
95,ALLIED CARE EXPERTS MEDICAL CENTER-VALENZUELA,"544 MC ARTHUR HIGHWAY, MALANDAY, VALENZUELA",(02) 3660000/8366 0000 loc 618
96,ALLIED CARE EXPERTS MEDICAL CENTER-ZAMBOANGA CITY,BARANGAY 16 TIANO AKUT STREET,
97,"ALLIED CARE MEDICAL EXPERTS (ACE) MEDICAL CENTER-PATEROS, INC.","884 P. HERRERA ST. AGUHO, PATEROS",02-8706-9395 to 8706-9400
98,ALPHAMED DIAGNOSTIC LABORATORY (MAIN),"BARANGAY SAN ISIDRO, CITY OF SAN FERNANDO PAMPANGA",
99,ALPHAMED DIAGNOSTIC LABORATORY - APALIT,"BARANGAY SAN VICENTE, APALIT PAMPANGA",
